ID,FK_ZAEHLER,DATE,VELO_IN,VELO_OUT,FUSS_IN,FUSS_OUT
344037,ECO09022739,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344038,U15G3063865,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344039,Y2H16039396,2019-04-08 04:00:00,0.0,1.0,0.0,0.0
344040,U15G3063866,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344041,Y2H16069942,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344042,U15G3063867,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344043,Y2H16069943,2019-04-08 04:00:00,0.0,1.0,0.0,0.0
344044,U15G3063869,2019-04-08 04:00:00,0.0,0.0,0.0,3.0
344045,U15G3063870,2019-04-08 04:00:00,0.0,0.0,2.0,0.0
344046,U15G3063872,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344047,YSH18065716,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344048,U15G3104442,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344049,U15G3104443,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344050,U15G3104444,2019-04-08 04:00:00,0.0,0.0,1.0,3.0
344051,U15G3104445,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344052,U15G3104446,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344053,ECO07091438,2019-04-08 04:00:00,1.0,0.0,0.0,0.0
344054,ECO07111527,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344055,ECO09113506,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344056,ECO06040592,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344057,ECO09113503,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344058,Y2G13124875,2019-04-08 04:00:00,1.0,0.0,0.0,0.0
344059,Y0412032046,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344060,Y2G13124877,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344061,Y2G13124876,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344062,Y0410090357,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344063,U15G6121229,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344064,Y2G13124878,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344065,Y2G13124879,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344066,U15G3063873,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344067,Y2H18106793,2019-04-08 04:00:00,1.0,1.0,0.0,0.0
344068,Y2G14045586,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344069,Y2H18106792,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344070,Y2G14045587,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344071,U15G3063864,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344072,YPH15108550,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344073,ECO09113499,2019-04-08 04:00:00,0.0,0.0,0.0,0.0
344074,ECO09113503,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344075,U15G3063865,2019-04-08 04:15:00,0.0,0.0,0.0,2.0
344076,ECO09113499,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344077,Y2H16039396,2019-04-08 04:15:00,1.0,0.0,0.0,0.0
344078,U15G3063866,2019-04-08 04:15:00,0.0,0.0,1.0,1.0
344079,Y2H16069942,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344080,U15G3063867,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344081,Y2H16069943,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344082,U15G3063869,2019-04-08 04:15:00,0.0,0.0,0.0,1.0
344083,U15G3063870,2019-04-08 04:15:00,0.0,0.0,1.0,3.0
344084,U15G3063872,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344085,YSH18065716,2019-04-08 04:15:00,0.0,0.0,3.0,4.0
344086,U15G3104442,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344087,U15G3104443,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344088,U15G3104444,2019-04-08 04:15:00,0.0,0.0,1.0,1.0
344089,U15G3104445,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344090,U15G3104446,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344091,ECO09113506,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344092,Y2G13124875,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344093,Y0412032046,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344094,Y2G13124877,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344095,Y2G13124876,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344096,Y0410090357,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344097,U15G6121229,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344098,Y2G13124878,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344099,Y2G13124879,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344100,U15G3063873,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344101,Y2H18106793,2019-04-08 04:15:00,0.0,3.0,0.0,0.0
344102,Y2G14045586,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344103,Y2H18106792,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344104,Y2G14045587,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344105,U15G3063864,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344106,YPH15108550,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344107,ECO09022739,2019-04-08 04:15:00,0.0,0.0,0.0,0.0
344108,ECO09113503,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344109,U15G3063865,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344110,ECO09113499,2019-04-08 04:30:00,1.0,0.0,0.0,0.0
344111,Y2H16039396,2019-04-08 04:30:00,0.0,1.0,0.0,0.0
344112,U15G3063866,2019-04-08 04:30:00,0.0,0.0,1.0,1.0
344113,Y2H16069942,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344114,U15G3063867,2019-04-08 04:30:00,0.0,0.0,3.0,0.0
344115,Y2H16069943,2019-04-08 04:30:00,1.0,0.0,0.0,0.0
344116,U15G3063869,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344117,U15G3063870,2019-04-08 04:30:00,0.0,0.0,1.0,8.0
344118,YSH18065716,2019-04-08 04:30:00,0.0,0.0,2.0,0.0
344119,U15G3104442,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344120,U15G3063872,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344121,U15G3104443,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344122,U15G3104444,2019-04-08 04:30:00,0.0,0.0,1.0,2.0
344123,U15G3104445,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344124,U15G3104446,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
344125,ECO09113506,2019-04-08 04:30:00,1.0,0.0,0.0,0.0
344126,Y2G13124875,2019-04-08 04:30:00,0.0,0.0,0.0,0.0
